nodeID,frameIndex,dataIndex,nodeName,numFrames,dataName,plottable,nodeIndex,numData,dataTimeout,enableTelemCallback,min,max,bitLength,minWarning,maxWarning,enumVal,crit_count_max,minCritical,maxCritical
0,0,16,telemetry,7,VitalsUpdate_HBMask,false,0,17,3000,0,0,31,5,0,31,0,0,0,31
0,1,0,telemetry,7,vitalsErr_numErrors,false,0,1,0,0,0,255,8,0,255,0,0,0,255
0,2,0,telemetry,7,dataWarning_dataTooHigh,false,0,5,0,0,0,1,1,0,1,0,0,0,1
0,2,1,telemetry,7,dataWarning_dataErrorTrigger,false,0,5,0,0,0,4,3,0,4,True,0,0,4
0,2,2,telemetry,7,dataWarning_nodeID,false,0,5,0,0,0,15,4,0,15,0,0,0,15
0,2,3,telemetry,7,dataWarning_frameID,false,0,5,0,0,0,3,2,0,3,0,0,0,3
0,2,4,telemetry,7,dataWarning_dataID,false,0,5,0,0,0,15,4,0,15,0,0,0,15
0,3,0,telemetry,7,frameWarning_frameErrorTrigger,false,0,3,0,0,0,2,2,0,2,True,0,0,2
0,3,1,telemetry,7,frameWarning_nodeID,false,0,3,0,0,0,15,4,0,15,0,0,0,15
0,3,2,telemetry,7,frameWarning_frameID,false,0,3,0,0,0,3,2,0,3,0,0,0,3
0,4,0,telemetry,7,nodeStatus_nodeID,false,0,2,0,0,0,15,4,0,15,0,0,0,15
0,4,1,telemetry,7,nodeStatus_statusUpdates,false,0,2,0,0,0,5,3,0,5,True,0,0,5
0,5,0,telemetry,7,unknownCanPacket_nodeID,false,0,5,0,0,0,2047,11,0,2047,0,0,0,2047
0,5,1,telemetry,7,unknownCanPacket_DLC,false,0,5,0,0,0,15,4,0,15,0,0,0,15
0,5,2,telemetry,7,unknownCanPacket_extendedIDPresent,false,0,5,0,0,0,1,1,0,1,0,0,0,1
0,5,3,telemetry,7,unknownCanPacket_RTR,false,0,5,0,0,0,1,1,0,1,0,0,0,1
0,5,4,telemetry,7,unknownCanPacket_ext_id_start,false,0,5,0,0,0,3,2,0,3,0,0,0,3
0,6,0,telemetry,7,CANDataFrame_nodeID,false,0,2,0,0,0,15,4,0,15,0,0,0,15
0,6,1,telemetry,7,CANDataFrame_frameID,false,0,2,0,0,0,3,2,0,3,0,0,0,3
