Timestamp_ms,SOC_%,SOH_%,Pack_V,Pack_A,ErrorNum,ErrorCellTemp,Temp1_C,Temp2_C,Temp3_C,Temp4_C,Temp5_C,Temp6_C,Temp7_C,Temp8_C,Cell1_V,Cell2_V,Cell3_V,Cell4_V,Cell5_V,Cell6_V,Cell7_V,Cell8_V,Cell9_V,Cell10_V,Cell11_V,Cell12_V,Cell13_V,Cell14_V,Cell15_V,Cell16_V,MaxCharge_V,MaxCharge_A,MaxDischarge_A,MinDischarge_V,Ah,BMS_Temp_C,IO_Status,Balancing_Status_Hex,Contactor_Status
22150,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,37.1,52.5,13.4,164,29,6,0x0000,0
23140,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,38.1,52.5,13.4,164,29,6,0x0000,0
24150,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,38.1,52.5,13.4,164,29,6,0x0000,0
25050,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,39.1,52.5,13.4,164,29,6,0x0000,0
26050,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,40.1,52.5,13.4,164,29,6,0x0000,0
27060,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,40.1,52.5,13.4,164,29,6,0x0000,0
27960,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,41.1,52.5,13.4,164,29,6,0x0000,0
28950,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,42.1,52.5,13.4,164,29,6,0x0000,0
29960,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,42.1,52.5,13.4,164,29,6,0x0000,0
30860,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,43.1,52.5,13.4,164,29,6,0x0000,0
31860,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,44.1,52.5,13.4,164,29,6,0x0000,0
32870,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,44.1,52.5,13.4,164,29,6,0x0000,0
33770,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,45.1,52.5,13.4,164,29,6,0x0000,0
34760,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,46.1,52.5,13.4,164,29,6,0x0000,0
35770,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,46.1,52.5,13.4,164,29,6,0x0000,0
36670,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,47.1,52.5,13.4,164,29,6,0x0000,0
37670,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,48.1,52.5,13.4,164,29,6,0x0000,0
38690,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,48.1,52.5,13.4,164,29,6,0x0000,0
39590,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,49.1,52.5,13.4,164,29,6,0x0000,0
40590,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,50.1,52.5,13.4,164,29,6,0x0000,0
41600,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,50.1,52.5,13.4,164,29,6,0x0000,0
42500,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,51.1,52.5,13.4,164,29,6,0x0000,0
43490,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.1,52.5,13.4,164,29,6,0x0000,0
44510,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.1,52.5,13.4,164,29,6,0x0000,0
45410,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
46400,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
47410,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
48310,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
49300,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
